"ICD10","ICD10Descr"
"C9100","Acute lymphoblastic leukemia not having achieved remission"
"C159","Malignant neoplasm of esophagus, unspecified"
"C46","Kaposi's sarcoma"
"C50812","Malignant neoplasm of ovrlp sites of left female breast"
"C004","Malignant neoplasm of lower lip, inner aspect"
"C8449","Prph T-cell lymph, not class, extrnod and solid organ sites"
"C060","Malignant neoplasm of cheek mucosa"
"C8387","Other non-follicular lymphoma, spleen"
"C187","Malignant neoplasm of sigmoid colon"
"C20","Malignant neoplasm of rectum"
"C8285","Oth types of foliclar lymph, nodes of ing rgn and lower limb"
"C925","Acute myelomonocytic leukemia"
"C8419","Sezary disease, extranodal and solid organ sites"
"C9430","Mast cell leukemia not having achieved remission"
"C8132","Lymphocy depleted class Hodgkin lymphoma, intrathorac nodes"
"C436","Malignant melanoma of upper limb, including shoulder"
"C8119","Nodlr scler class Hdgkn lymph, extrnod and solid organ sites"
"C168","Malignant neoplasm of overlapping sites of stomach"
"C342","Malignant neoplasm of middle lobe, bronchus or lung"
"C8333","Diffuse large B-cell lymphoma, intra-abdominal lymph nodes"
"C080","Malignant neoplasm of submandibular gland"
"C7492","Malignant neoplasm of unspecified part of left adrenal gland"
"C252","Malignant neoplasm of tail of pancreas"
"C8140","Lymphocyte-rich classical Hodgkin lymphoma, unspecified site"
"C8282","Oth types of follicular lymphoma, intrathoracic lymph nodes"
"C50929","Malignant neoplasm of unsp site of unspecified male breast"
"C609","Malignant neoplasm of penis, unspecified"
"C000","Malignant neoplasm of external upper lip"
"C9150","Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission"
"C621","Malignant neoplasm of descended testis"
"C6291","Malig neoplm of right testis, unsp descended or undescended"
"C821","Follicular lymphoma grade II"
"C380","Malignant neoplasm of heart"
"C63","Malignant neoplasm of other and unsp male genital organs"
"C8293","Follicular lymphoma, unsp, intra-abdominal lymph nodes"
"C8592","Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes"
"C3431","Malignant neoplasm of lower lobe, right bronchus or lung"
"C50619","Malignant neoplasm of axillary tail of unsp female breast"
"C5032","Malignant neoplasm of lower-inner quadrant of breast, male"
"C8172","Other classical Hodgkin lymphoma, intrathoracic lymph nodes"
"C755","Malignant neoplasm of aortic body and other paraganglia"
"C4910","Malig neoplm of conn & soft tiss of unsp upr lmb, inc shldr"
"C383","Malignant neoplasm of mediastinum, part unspecified"
"C6301","Malignant neoplasm of right epididymis"
"C639","Malignant neoplasm of male genital organ, unspecified"
"C4000","Malig neoplasm of scapula and long bones of unsp upper limb"
"C9290","Myeloid leukemia, unspecified, not having achieved remission"
"C922","Atypical chronic myeloid leukemia, BCR/ABL-negative"
"C620","Malignant neoplasm of undescended testis"
"C673","Malignant neoplasm of anterior wall of bladder"
"C495","Malignant neoplasm of connective and soft tissue of pelvis"
"C672","Malignant neoplasm of lateral wall of bladder"
"C84A7","Cutaneous T-cell lymphoma, unspecified, spleen"
"C023","Malig neoplasm of anterior two-thirds of tongue, part unsp"
"C459","Mesothelioma, unspecified"
"C740","Malignant neoplasm of cortex of adrenal gland"
"C310","Malignant neoplasm of maxillary sinus"
"C8373","Burkitt lymphoma, intra-abdominal lymph nodes"
"C5701","Malignant neoplasm of right fallopian tube"
"C182","Malignant neoplasm of ascending colon"
"C8105","Nodlr lymphocy predom Hdgkn lymph,nodes of ing rgn & low lmb"
"C669","Malignant neoplasm of unspecified ureter"
"C475","Malignant neoplasm of peripheral nerves of pelvis"
"C8356","Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes"
"C020","Malignant neoplasm of dorsal surface of tongue"
"C180","Malignant neoplasm of cecum"
"C8121","Mix cellular class Hdgkn lymph, nodes of head, face, and nk"
"C8141","Lymp-rich class Hodgkin lymph, nodes of head, face, and neck"
"C712","Malignant neoplasm of temporal lobe"
"C8280","Other types of follicular lymphoma, unspecified site"
"C001","Malignant neoplasm of external lower lip"
"C261","Malignant neoplasm of spleen"
"C8594","Non-Hodgkin lymphoma, unsp, nodes of axilla and upper limb"
"C820","Follicular lymphoma grade I"
"C110","Malignant neoplasm of superior wall of nasopharynx"
"C825","Diffuse follicle center lymphoma"
"C50822","Malignant neoplasm of overlapping sites of left male breast"
"C5700","Malignant neoplasm of unspecified fallopian tube"
"C184","Malignant neoplasm of transverse colon"
"C8308","Small cell B-cell lymphoma, lymph nodes of multiple sites"
"C8143","Lymp-rich classical Hodgkin lymphoma, intra-abd lymph nodes"
"C9141","Hairy cell leukemia, in remission"
"C413","Malignant neoplasm of ribs, sternum and clavicle"
"C9191","Lymphoid leukemia, unspecified, in remission"
"C6290","Malig neoplasm of unsp testis, unsp descended or undescended"
"C84A2","Cutaneous T-cell lymphoma, unsp, intrathoracic lymph nodes"
"C8266","Cutaneous follicle center lymphoma, intrapelvic lymph nodes"
"C8393","Non-follic (diffuse) lymphoma, unsp, intra-abd lymph nodes"
"C9222","Atypical chronic myeloid leukemia, BCR/ABL-neg, in relapse"
"C9101","Acute lymphoblastic leukemia, in remission"
"C9591","Leukemia, unspecified, in remission"
"C8496","Mature T/NK-cell lymphomas, unsp, intrapelvic lymph nodes"
"C8528","Mediastinal (thymic) large B-cell lymphoma, nodes mult site"
"C482","Malignant neoplasm of peritoneum, unspecified"
"C8126","Mixed cellular classical Hodgkin lymphoma, intrapelv nodes"
"C8446","Peripheral T-cell lymphoma, not classified, intrapelv nodes"
"C8226","Follicular lymphoma grade III, unsp, intrapelvic lymph nodes"
"C211","Malignant neoplasm of anal canal"
"C8115","Nodlr scler class Hdgkn lymph, nodes of ing rgn and low limb"
"C37","Malignant neoplasm of thymus"
"C45","Mesothelioma"
"C164","Malignant neoplasm of pylorus"
"C9511","Chronic leukemia of unspecified cell type, in remission"
"C494","Malignant neoplasm of connective and soft tissue of abdomen"
"C8586","Oth types of non-Hodgkin lymphoma, intrapelvic lymph nodes"
"C50529","Malig neoplasm of lower-outer quadrant of unsp male breast"
"C6961","Malignant neoplasm of right orbit"
"C9001","Multiple myeloma in remission"
"C966","Unifocal Langerhans-cell histiocytosis"
"C4360","Malignant melanoma of unsp upper limb, including shoulder"
"C509","Malignant neoplasm of breast of unspecified site"
"C8110","Nodular sclerosis classical Hodgkin lymphoma, unsp site"
"C8179","Oth class Hodgkin lymphoma, extrnod and solid organ sites"
"C9301","Acute monoblastic/monocytic leukemia, in remission"
"C8371","Burkitt lymphoma, lymph nodes of head, face, and neck"
"C8198","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
"C4920","Malig neoplm of conn and soft tiss of unsp low limb, inc hip"
"C14","Malig neoplasm of sites in the lip, oral cavity and pharynx"
"C50321","Malig neoplasm of lower-inner quadrant of right male breast"
"C8220","Follicular lymphoma grade III, unspecified, unspecified site"
"C257","Malignant neoplasm of other parts of pancreas"
"C8400","Mycosis fungoides, unspecified site"
"C7231","Malignant neoplasm of right optic nerve"
"C67","Malignant neoplasm of bladder"
"C8144","Lymp-rich class Hdgkn lymph, nodes of axilla and upper limb"
"C040","Malignant neoplasm of anterior floor of mouth"
"C764","Malignant neoplasm of upper limb"
"C8239","Foliclar lymphoma grade IIIa, extrnod and solid organ sites"
"C9211","Chronic myeloid leukemia, BCR/ABL-positive, in remission"
"C502","Malignant neoplasm of upper-inner quadrant of breast"
"C4010","Malignant neoplasm of short bones of unspecified upper limb"
"C6311","Malignant neoplasm of right spermatic cord"
"C62","Malignant neoplasm of testis"
"C7410","Malignant neoplasm of medulla of unspecified adrenal gland"
"C50122","Malignant neoplasm of central portion of left male breast"
"C253","Malignant neoplasm of pancreatic duct"
"C91Z2","Other lymphoid leukemia, in relapse"
"C7221","Malignant neoplasm of right olfactory nerve"
"C823","Follicular lymphoma grade IIIa"
"C165","Malignant neoplasm of lesser curvature of stomach, unsp"
"C049","Malignant neoplasm of floor of mouth, unspecified"
"C7412","Malignant neoplasm of medulla of left adrenal gland"
"C6912","Malignant neoplasm of left cornea"
"C249","Malignant neoplasm of biliary tract, unspecified"
"C69","Malignant neoplasm of eye and adnexa"
"C181","Malignant neoplasm of appendix"
"C5031","Malignant neoplasm of lower-inner quadrant of breast, female"
"C8374","Burkitt lymphoma, lymph nodes of axilla and upper limb"
"C50","Malignant neoplasm of breast"
"C058","Malignant neoplasm of overlapping sites of palate"
"C969","Malig neoplm of lymphoid, hematpoetc and rel tissue, unsp"
"C8404","Mycosis fungoides, lymph nodes of axilla and upper limb"
"C8246","Follicular lymphoma grade IIIb, intrapelvic lymph nodes"
"C50111","Malignant neoplasm of central portion of right female breast"
"C962","Malignant mast cell tumor"
"C719","Malignant neoplasm of brain, unspecified"
"C470","Malignant neoplasm of prph nerves of head, face and neck"
"C85","Oth and unspecified types of non-Hodgkin lymphoma"
"C8406","Mycosis fungoides, intrapelvic lymph nodes"
"C16","Malignant neoplasm of stomach"
"C161","Malignant neoplasm of fundus of stomach"
"C419","Malignant neoplasm of bone and articular cartilage, unsp"
"C8584","Oth types of non-hodg lymph, nodes of axilla and upper limb"
"C8208","Follicular lymphoma grade I, lymph nodes of multiple sites"
"C183","Malignant neoplasm of hepatic flexure"
"C71","Malignant neoplasm of brain"
"C4652","Kaposi's sarcoma of left lung"
"C883","Immunoproliferative small intestinal disease"
"C9592","Leukemia, unspecified, in relapse"
"C130","Malignant neoplasm of postcricoid region"
"C10","Malignant neoplasm of oropharynx"
"C450","Mesothelioma of pleura"
"C8262","Cutaneous follicle center lymphoma, intrathorac lymph nodes"
"C700","Malignant neoplasm of cerebral meninges"
"C434","Malignant melanoma of scalp and neck"
"C8222","Follicular lymphoma grade III, unsp, intrathorac lymph nodes"
"C9151","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission"
"C9012","Plasma cell leukemia in relapse"
"C6930","Malignant neoplasm of unspecified choroid"
"C140","Malignant neoplasm of pharynx, unspecified"
"C210","Malignant neoplasm of anus, unspecified"
"C4310","Malignant melanoma of unspecified eyelid, including canthus"
"C9300","Acute monoblastic/monocytic leukemia, not achieve remission"
"C8241","Foliclar lymphoma grade IIIb, nodes of head, face, and neck"
"C240","Malignant neoplasm of extrahepatic bile duct"
"C725","Malignant neoplasm of other and unspecified cranial nerves"
"C6982","Malignant neoplasm of ovrlp sites of left eye and adnexa"
"C4001","Malig neoplasm of scapula and long bones of right upper limb"
"C399","Malignant neoplasm of lower respiratory tract, part unsp"
"C8304","Small cell B-cell lymphoma, nodes of axilla and upper limb"
"C8359","Lymphoblastic lymphoma, extrnod and solid organ sites"
"C959","Leukemia, unspecified"
"C467","Kaposi's sarcoma of other sites"
"C9162","Prolymphocytic leukemia of T-cell type, in relapse"
"C721","Malignant neoplasm of cauda equina"
"C761","Malignant neoplasm of thorax"
"C7400","Malignant neoplasm of cortex of unspecified adrenal gland"
"C300","Malignant neoplasm of nasal cavity"
"C8415","Sezary disease, nodes of inguinal region and lower limb"
"C662","Malignant neoplasm of left ureter"
"C8194","Hodgkin lymphoma, unsp, lymph nodes of axilla and upper limb"
"C5702","Malignant neoplasm of left fallopian tube"
"C4082","Malig neoplm of ovrlp sites of bone/artic cartl of left limb"
"C678","Malignant neoplasm of overlapping sites of bladder"
"C8494","Mature T/NK-cell lymph, unsp, nodes of axilla and upper limb"
"C573","Malignant neoplasm of parametrium"
"C461","Kaposi's sarcoma of soft tissue"
"C3411","Malignant neoplasm of upper lobe, right bronchus or lung"
"C91Z1","Other lymphoid leukemia, in remission"
"C471","Malig neoplasm of prph nerves of upper limb, inc shoulder"
"C4031","Malignant neoplasm of short bones of right lower limb"
"C8138","Lymphocy depleted class Hodgkin lymphoma, nodes mult site"
"C4922","Malig neoplm of conn and soft tiss of left low limb, inc hip"
"C8114","Nodlr scler class Hdgkn lymph, nodes of axla and upper limb"
"C9231","Myeloid sarcoma, in remission"
"C4022","Malignant neoplasm of long bones of left lower limb"
"C4080","Malig neoplm of ovrlp sites of bone/artic cartl of unsp limb"
"C671","Malignant neoplasm of dome of bladder"
"C577","Malignant neoplasm of other specified female genital organs"
"C830","Small cell B-cell lymphoma"
"C561","Malignant neoplasm of right ovary"
"C7651","Malignant neoplasm of right lower limb"
"C4090","Malig neoplasm of unsp bones and artic cartlg of unsp limb"
"C4330","Malignant melanoma of unspecified part of face"
"C8227","Follicular lymphoma grade III, unspecified, spleen"
"C8108","Nodular lymphocyte predom Hodgkin lymphoma, nodes mult site"
"C9102","Acute lymphoblastic leukemia, in relapse"
"C052","Malignant neoplasm of uvula"
"C571","Malignant neoplasm of broad ligament"
"C939","Monocytic leukemia, unspecified"
"C948","Other specified leukemias"
"C12","Malignant neoplasm of pyriform sinus"
"C900","Multiple myeloma"
"C810","Nodular lymphocyte predominant Hodgkin lymphoma"
"C942","Acute megakaryoblastic leukemia"
"C4371","Malignant melanoma of right lower limb, including hip"
"C90","Multiple myeloma and malignant plasma cell neoplasms"
"C099","Malignant neoplasm of tonsil, unspecified"
"C269","Malignant neoplasm of ill-defined sites within the dgstv sys"
"C8441","Prph T-cell lymph, not class, nodes of head, face, and neck"
"C384","Malignant neoplasm of pleura"
"C6901","Malignant neoplasm of right conjunctiva"
"C84Z7","Other mature T/NK-cell lymphomas, spleen"
"C92Z2","Other myeloid leukemia, in relapse"
"C8129","Mix cellular class Hdgkn lymph, extrnod and solid org sites"
"C30","Malignant neoplasm of nasal cavity and middle ear"
"C9112","Chronic lymphocytic leukemia of B-cell type in relapse"
"C5062","Malignant neoplasm of axillary tail of breast, male"
"C714","Malignant neoplasm of occipital lobe"
"C91Z0","Other lymphoid leukemia not having achieved remission"
"C84Z4","Oth mature T/NK-cell lymph, nodes of axilla and upper limb"
"C5022","Malignant neoplasm of upper-inner quadrant of breast, male"
"C178","Malignant neoplasm of overlapping sites of small intestine"
"C9130","Prolymphocytic leukemia of B-cell type not achieve remission"
"C8317","Mantle cell lymphoma, spleen"
"C8215","Foliclar lymph grade II, nodes of ing region and lower limb"
"C179","Malignant neoplasm of small intestine, unspecified"
"C8402","Mycosis fungoides, intrathoracic lymph nodes"
"C38","Malignant neoplasm of heart, mediastinum and pleura"
"C518","Malignant neoplasm of overlapping sites of vulva"
"C260","Malignant neoplasm of intestinal tract, part unspecified"
"C5722","Malignant neoplasm of left round ligament"
"C166","Malignant neoplasm of greater curvature of stomach, unsp"
"C698","Malignant neoplasm of overlapping sites of eye and adnexa"
"C8256","Diffuse follicle center lymphoma, intrapelvic lymph nodes"
"C724","Malignant neoplasm of acoustic nerve"
"C8315","Mantle cell lymphoma, nodes of ing region and lower limb"
"C8448","Peripheral T-cell lymphoma, not classified, nodes mult site"
"C8464","Anaplstc lg cell lymph, ALK-pos, nodes of axla and upr limb"
"C5712","Malignant neoplasm of left broad ligament"
"C5720","Malignant neoplasm of unspecified round ligament"
"C8379","Burkitt lymphoma, extranodal and solid organ sites"
"C021","Malignant neoplasm of border of tongue"
"C451","Mesothelioma of peritoneum"
"C8409","Mycosis fungoides, extranodal and solid organ sites"
"C92Z0","Other myeloid leukemia not having achieved remission"
"C248","Malignant neoplasm of overlapping sites of biliary tract"
"C8230","Follicular lymphoma grade IIIa, unspecified site"
"C888","Other malignant immunoproliferative diseases"
"C6962","Malignant neoplasm of left orbit"
"C8498","Mature T/NK-cell lymphomas, unsp, lymph nodes mult site"
"C8251","Diffuse folicl center lymph, nodes of head, face, and neck"
"C84Z8","Oth mature T/NK-cell lymphomas, lymph nodes mult site"
"C8595","Non-hodg lymphoma, unsp, nodes of ing region and lower limb"
"C4361","Malignant melanoma of right upper limb, including shoulder"
"C8224","Foliclar lymph grade III, unsp, nodes of axla and upper limb"
"C903","Solitary plasmacytoma"
"C212","Malignant neoplasm of cloacogenic zone"
"C3482","Malignant neoplasm of ovrlp sites of left bronchus and lung"
"C462","Kaposi's sarcoma of palate"
"C8177","Other classical Hodgkin lymphoma, spleen"
"C602","Malignant neoplasm of body of penis"
"C4352","Malignant melanoma of skin of breast"
"C882","Heavy chain disease"
"C505","Malignant neoplasm of lower-outer quadrant of breast"
"C8249","Foliclar lymphoma grade IIIb, extrnod and solid organ sites"
"C88","Malig immunoproliferative dis and certain oth B-cell lymph"
"C8385","Oth non-follic lymphoma, nodes of ing region and lower limb"
"C8122","Mixed cellular classical Hodgkin lymphoma, intrathorac nodes"
"C8193","Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes"
"C84A1","Cutan T-cell lymphoma, unsp nodes of head, face, and neck"
"C50612","Malignant neoplasm of axillary tail of left female breast"
"C9201","Acute myeloblastic leukemia, in remission"
"C108","Malignant neoplasm of overlapping sites of oropharynx"
"C8310","Mantle cell lymphoma, unspecified site"
"C9482","Other specified leukemias, in relapse"
"C7230","Malignant neoplasm of unspecified optic nerve"
"C911","Chronic lymphocytic leukemia of B-cell type"
"C965","Multifocal and unisystemic Langerhans-cell histiocytosis"
"C9512","Chronic leukemia of unspecified cell type, in relapse"
"C50319","Malig neoplasm of lower-inner quadrant of unsp female breast"
"C5710","Malignant neoplasm of unspecified broad ligament"
"C8520","Mediastinal (thymic) large B-cell lymphoma, unspecified site"
"C852","Mediastinal (thymic) large B-cell lymphoma"
"C5002","Malignant neoplasm of nipple and areola, male"
"C081","Malignant neoplasm of sublingual gland"
"C562","Malignant neoplasm of left ovary"
"C8146","Lymp-rich classical Hodgkin lymphoma, intrapelv lymph nodes"
"C5721","Malignant neoplasm of right round ligament"
"C50522","Malig neoplasm of lower-outer quadrant of left male breast"
"C8311","Mantle cell lymphoma, lymph nodes of head, face, and neck"
"C8111","Nodlr scler class Hdgkn lymph, nodes of head, face, and neck"
"C8412","Sezary disease, intrathoracic lymph nodes"
"C8338","Diffuse large B-cell lymphoma, lymph nodes of multiple sites"
"C9242","Acute promyelocytic leukemia, in relapse"
"C160","Malignant neoplasm of cardia"
"C0680","Malignant neoplasm of ovrlp sites of unsp parts of mouth"
"C9161","Prolymphocytic leukemia of T-cell type, in remission"
"C4030","Malignant neoplasm of short bones of unspecified lower limb"
"C8145","Lymp-rich class Hdgkn lymph, nodes of ing rgn and lower limb"
"C7240","Malignant neoplasm of unspecified acoustic nerve"
"C8255","Diffus folicl cntr lymph, nodes of ing region and lower limb"
"C7241","Malignant neoplasm of right acoustic nerve"
"C964","Sarcoma of dendritic cells (accessory cells)"
"C9330","Juvenile myelomonocytic leukemia, not achieve remission"
"C838","Other non-follicular lymphoma"
"C66","Malignant neoplasm of ureter"
"C94","Other leukemias of specified cell type"
"C05","Malignant neoplasm of palate"
"C8298","Follicular lymphoma, unsp, lymph nodes of multiple sites"
"C478","Malig neoplm of ovrlp sites of prph nrv and autonm nrv sys"
"C97",
"C924","Acute promyelocytic leukemia"
"C8336","Diffuse large B-cell lymphoma, intrapelvic lymph nodes"
"C50112","Malignant neoplasm of central portion of left female breast"
"C8332","Diffuse large B-cell lymphoma, intrathoracic lymph nodes"
"C859","Non-Hodgkin lymphoma, unspecified"
"C435","Malignant melanoma of trunk"
"C9152","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse"
"C412","Malignant neoplasm of vertebral column"
"C343","Malignant neoplasm of lower lobe, bronchus or lung"
"C4331","Malignant melanoma of nose"
"C52","Malignant neoplasm of vagina"
"C138","Malignant neoplasm of overlapping sites of hypopharynx"
"C50222","Malig neoplasm of upper-inner quadrant of left male breast"
"C8283","Oth types of follicular lymphoma, intra-abd lymph nodes"
"C84A4","Cutan T-cell lymphoma, unsp, nodes of axilla and upper limb"
"C760","Malignant neoplasm of head, face and neck"
"C8252","Diffuse follicle center lymphoma, intrathoracic lymph nodes"
"C713","Malignant neoplasm of parietal lobe"
"C8269","Cutan folicl center lymphoma, extrnod and solid organ sites"
"C92A1","Acute myeloid leukemia w multilin dysplasia, in remission"
"C439","Malignant melanoma of skin, unspecified"
"C39","Malig neoplm of sites in the resp sys and intrathorac organs"
"C8597","Non-Hodgkin lymphoma, unspecified, spleen"
"C93Z2","Other monocytic leukemia, in relapse"
"C8199","Hodgkin lymphoma, unsp, extranodal and solid organ sites"
"C880","Waldenstrom macroglobulinemia"
"C005","Malignant neoplasm of lip, unspecified, inner aspect"
"C82","Follicular lymphoma"
"C382","Malignant neoplasm of posterior mediastinum"
"C480","Malignant neoplasm of retroperitoneum"
"C8107","Nodular lymphocyte predominant Hodgkin lymphoma, spleen"
"C813","Lymphocyte depleted classical Hodgkin lymphoma"
"C9110","Chronic lymphocytic leuk of B-cell type not achieve remis"
"C098","Malignant neoplasm of overlapping sites of tonsil"
"C8405","Mycosis fungoides, nodes of inguinal region and lower limb"
"C8596","Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
"O10019","Pre-existing essential htn comp pregnancy, unsp trimester"
"O1092","Unsp pre-existing hypertension complicating childbirth"
"O10913","Unsp pre-existing htn comp pregnancy, third trimester"
"O10912","Unsp pre-existing htn comp pregnancy, second trimester"
"I10","Essential (primary) hypertension"
"O10011","Pre-existing essential htn comp pregnancy, first trimester"
"O10012","Pre-existing essential htn comp pregnancy, second trimester"
"O10919","Unsp pre-existing htn comp pregnancy, unsp trimester"
"O1002","Pre-existing essential hypertension complicating childbirth"
"O10013","Pre-existing essential htn comp pregnancy, third trimester"
"O10911","Unsp pre-existing htn comp pregnancy, first trimester"
"O1093","Unsp pre-existing hypertension complicating the puerperium"
"O1003","Pre-existing essential hypertension comp the puerperium"
"B20","Human immunodeficiency virus [HIV] disease"
"B24",
"B21",
"B22",
"J452","Mild intermittent asthma"
"J660","Byssinosis"
"J4520","Mild intermittent asthma, uncomplicated"
"J678","Hypersensitivity pneumonitis due to other organic dusts"
"J679","Hypersensitivity pneumonitis due to unspecified organic dust"
"J668","Airway disease due to other specific organic dusts"
"I279","Pulmonary heart disease, unspecified"
"J4522","Mild intermittent asthma with status asthmaticus"
"J4521","Mild intermittent asthma with (acute) exacerbation"
"I2789","Other specified pulmonary heart diseases"
"I2782","Chronic pulmonary embolism"
"J4530","Mild persistent asthma, uncomplicated"
"J61","Pneumoconiosis due to asbestos and other mineral fibers"
"J430","Unilateral pulmonary emphysema [MacLeod's syndrome]"
"J4552","Severe persistent asthma with status asthmaticus"
"J431","Panlobular emphysema"
"J675","Mushroom-worker's lung"
"J4541","Moderate persistent asthma with (acute) exacerbation"
"J672","Bird fancier's lung"
"J440","Chronic obstructive pulmon disease w acute lower resp infct"
"J60","Coalworker's pneumoconiosis"
"J677","Air conditioner and humidifier lung"
"J410","Simple chronic bronchitis"
"J630","Aluminosis (of lung)"
"J45998","Other asthma"
"J45909","Unspecified asthma, uncomplicated"
"J459","Other and unspecified asthma"
"I2781","Cor pulmonale (chronic)"
"J45990","Exercise induced bronchospasm"
"J635","Stannosis"
"J41","Simple and mucopurulent chronic bronchitis"
"J470","Bronchiectasis with acute lower respiratory infection"
"J45902","Unspecified asthma with status asthmaticus"
"J634","Siderosis"
"J62","Pneumoconiosis due to dust containing silica"
"J4531","Mild persistent asthma with (acute) exacerbation"
"J67","Hypersensitivity pneumonitis due to organic dust"
"J4550","Severe persistent asthma, uncomplicated"
"J620","Pneumoconiosis due to talc dust"
"J684","Chronic resp cond due to chemicals, gases, fumes and vapors"
"J64","Unspecified pneumoconiosis"
"J636","Pneumoconiosis due to other specified inorganic dusts"
"J4599","Other asthma"
"J703","Chronic drug-induced interstitial lung disorders"
"J670","Farmer's lung"
"J4590","Unspecified asthma"
"I278","Other specified pulmonary heart diseases"
"J43","Emphysema"
"J673","Suberosis"
"J63","Pneumoconiosis due to other inorganic dusts"
"J46",
"J42","Unspecified chronic bronchitis"
"J4540","Moderate persistent asthma, uncomplicated"
"J676","Maple-bark-stripper's lung"
"J66","Airway disease due to specific organic dust"
"J411","Mucopurulent chronic bronchitis"
"J453","Mild persistent asthma"
"J438","Other emphysema"
"J45901","Unspecified asthma with (acute) exacerbation"
"J449","Chronic obstructive pulmonary disease, unspecified"
"J628","Pneumoconiosis due to other dust containing silica"
"J65","Pneumoconiosis associated with tuberculosis"
"J632","Berylliosis"
"J4542","Moderate persistent asthma with status asthmaticus"
"J454","Moderate persistent asthma"
"J471","Bronchiectasis with (acute) exacerbation"
"J47","Bronchiectasis"
"J661","Flax-dressers' disease"
"J633","Graphite fibrosis (of lung)"
"J455","Severe persistent asthma"
"J439","Emphysema, unspecified"
"J40","Bronchitis, not specified as acute or chronic"
"J662","Cannabinosis"
"J45991","Cough variant asthma"
"J701","Chronic and other pulmonary manifestations due to radiation"
"J4532","Mild persistent asthma with status asthmaticus"
"J4551","Severe persistent asthma with (acute) exacerbation"
"J674","Maltworker's lung"
"J631","Bauxite fibrosis (of lung)"
"J44","Other chronic obstructive pulmonary disease"
"J45","Asthma"
"J479","Bronchiectasis, uncomplicated"
"J441","Chronic obstructive pulmonary disease w (acute) exacerbation"
"J432","Centrilobular emphysema"
"J418","Mixed simple and mucopurulent chronic bronchitis"
"J671","Bagassosis"
"K7041","Alcoholic hepatic failure with coma"
"I8501","Esophageal varices with bleeding"
"K7110","Toxic liver disease with hepatic necrosis, without coma"
"I864","Gastric varices"
"I8500","Esophageal varices without bleeding"
"K711","Toxic liver disease with hepatic necrosis"
"K7210","Chronic hepatic failure without coma"
"I850","Esophageal varices"
"K7291","Hepatic failure, unspecified with coma"
"K767","Hepatorenal syndrome"
"K729","Hepatic failure, unspecified"
"K766","Portal hypertension"
"I982",
"K7290","Hepatic failure, unspecified without coma"
"K721","Chronic hepatic failure"
"K7111","Toxic liver disease with hepatic necrosis, with coma"
"K765","Hepatic veno-occlusive disease"
"K7211","Chronic hepatic failure with coma"
"K704","Alcoholic hepatic failure"
"I859",
"K7040","Alcoholic hepatic failure without coma"
"F333","Major depressv disorder, recurrent, severe w psych symptoms"
"F331","Major depressive disorder, recurrent, moderate"
"F338","Other recurrent depressive disorders"
"F329","Major depressive disorder, single episode, unspecified"
"F328","Other depressive episodes"
"F330","Major depressive disorder, recurrent, mild"
"F321","Major depressive disorder, single episode, moderate"
"F332","Major depressv disorder, recurrent severe w/o psych features"
"F339","Major depressive disorder, recurrent, unspecified"
"F341","Dysthymic disorder"
"F323","Major depressv disord, single epsd, severe w psych features"
"F4321","Adjustment disorder with depressed mood"
"F320","Major depressive disorder, single episode, mild"
"F322","Major depressv disord, single epsd, sev w/o psych features"
"F1094","Alcohol use, unspecified with alcohol-induced mood disorder"
"F10982","Alcohol use, unspecified with alcohol-induced sleep disorder"
"F10180","Alcohol abuse with alcohol-induced anxiety disorder"
"F10181","Alcohol abuse with alcohol-induced sexual dysfunction"
"F10239","Alcohol dependence with withdrawal, unspecified"
"F10921","Alcohol use, unspecified with intoxication delirium"
"F10129","Alcohol abuse with intoxication, unspecified"
"F1099","Alcohol use, unsp with unspecified alcohol-induced disorder"
"F10282","Alcohol dependence with alcohol-induced sleep disorder"
"F10232","Alcohol dependence w withdrawal with perceptual disturbance"
"F10988","Alcohol use, unspecified with other alcohol-induced disorder"
"F10950","Alcohol use, unsp w alcoh-induce psych disorder w delusions"
"F10231","Alcohol dependence with withdrawal delirium"
"F1019","Alcohol abuse with unspecified alcohol-induced disorder"
"F1026","Alcohol depend w alcoh-induce persisting amnestic disorder"
"F1020","Alcohol dependence, uncomplicated"
"F10220","Alcohol dependence with intoxication, uncomplicated"
"F1010","Alcohol abuse, uncomplicated"
"F10259","Alcohol dependence w alcoh-induce psychotic disorder, unsp"
"F10121","Alcohol abuse with intoxication delirium"
"F10188","Alcohol abuse with other alcohol-induced disorder"
"F10280","Alcohol dependence with alcohol-induced anxiety disorder"
"F10959","Alcohol use, unsp w alcohol-induced psychotic disorder, unsp"
"F10229","Alcohol dependence with intoxication, unspecified"
"F1097","Alcohol use, unsp with alcohol-induced persisting dementia"
"F1096","Alcohol use, unsp w alcoh-induce persist amnestic disorder"
"F10981","Alcohol use, unsp with alcohol-induced sexual dysfunction"
"F10120","Alcohol abuse with intoxication, uncomplicated"
